Timestamp,Source MAC,Destination MAC,Source IP,Destination IP
2025-10-24 01:10:02,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.202
2025-10-24 01:10:03,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.203
2025-10-24 01:10:04,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.203
2025-10-24 01:10:05,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.89
2025-10-24 01:10:05,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.203
2025-10-24 01:10:06,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.89
2025-10-24 01:10:06,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.204
2025-10-24 01:10:07,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.89
2025-10-24 01:10:07,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.204
2025-10-24 01:10:08,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.89
2025-10-24 01:10:08,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.204
2025-10-24 01:10:09,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.89
2025-10-24 01:10:09,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.205
2025-10-24 01:10:10,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.89
2025-10-24 01:10:10,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.205
2025-10-24 01:10:11,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.89
2025-10-24 01:10:11,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.205
2025-10-24 01:10:12,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.89
2025-10-24 01:10:12,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.206
2025-10-24 01:10:13,48:57:02:8f:34:d5,00:00:00:00:00:00,192.168.100.2,192.168.100.89
2025-10-24 01:10:13,f8:a2:d6:e0:6f:d9,00:00:00:00:00:00,192.168.100.130,192.168.100.206
