Timestamp,Source MAC,Destination MAC,Source IP,Destination IP
2025-10-24 10:14:21,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,35.174.88.104,192.168.100.130
2025-10-24 10:14:21,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,140.82.113.25,192.168.100.130
2025-10-24 10:14:21,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,140.82.113.25
2025-10-24 10:14:21,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.207.202.187
2025-10-24 10:14:22,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.207.202.187,192.168.100.130
2025-10-24 10:14:22,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.207.202.187,192.168.100.130
2025-10-24 10:14:22,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.207.202.187
2025-10-24 10:14:22,f8:a2:d6:e0:6f:d9,02:e0:20:09:a5:ec,192.168.100.130,192.168.100.124
2025-10-24 10:14:22,02:e0:20:09:a5:ec,f8:a2:d6:e0:6f:d9,192.168.100.124,192.168.100.130
2025-10-24 10:14:22,f8:a2:d6:e0:6f:d9,02:e0:20:09:a5:ec,192.168.100.130,192.168.100.124
2025-10-24 10:14:23,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:23,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:23,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:23,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:23,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:23,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:23,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:23,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:23,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:23,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:23,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
2025-10-24 10:14:23,f8:a2:d6:e0:6f:d9,48:57:02:8f:34:d5,192.168.100.130,52.105.227.39
2025-10-24 10:14:23,48:57:02:8f:34:d5,f8:a2:d6:e0:6f:d9,52.105.227.39,192.168.100.130
